Model:,EDU-X 1002A,,Time (s),1 (VOLT),
,,,0.15432,0.0281545191537589,
,,,0.15436,0.024134419276379,
,,,0.1544,0.0177022594725713,
,,,0.15444,0.024938439251855,
,,,0.15448,0.00966205971781164,
,,,0.15452,0.00564195984043181,
,,,0.15456,0.00162185996305197,
,,,0.1546,-0.00722235976718366,
,,,0.15464,-0.0120464796200395,
,,,0.15468,-0.0128504995955154,
,,,0.15472,-0.0152625595219433,
,,,0.15476,-0.0208906993502751,
,,,0.1548,-0.0192826593993232,
,,,0.15484,-0.024106779252179,
,,,0.15488,-0.0144585395464674,
,,,0.15492,-0.022498739301227,
,,,0.15496,-0.0120464796200395,
,,,0.155,-0.00400627986527979,
,,,0.15504,0.0104660796932876,
,,,0.15508,0.0120741196442395,
,,,0.15512,0.0136821595951915,
